INFO_TIME,COUNTY_ID,COUNTY_ID_NM,TOWN_ID,TOWN_ID_NM,V_ID,V_ID_NM,fld0101,fld0201,fld0301,fld0401
╕ъо╞о╔╢б,┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,дс╝╞,дHдf╝╞,иkй╩дHдf╝╞,дkй╩дHдf╝╞
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-013","дj║╓з°",677,2041,1077,964
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-010","е\│╥з°",496,1463,773,690
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-009","еjлFз°",604,1760,934,826
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-014","еj╡▓з°",447,1231,640,591
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-007","е├┬эз°",297,945,486,459
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-001","жN▓╗з°",969,2793,1408,1385
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-008","й╛з╡з°",901,2654,1405,1249
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-004","кF┤фз°",368,1145,616,529
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-011","м№л░з°",836,2422,1324,1098
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-002","м№║╓з°",702,2015,1091,924
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-005","┤_┐│з°",646,1930,1017,913
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-012","╖sк└з°",444,1227,669,558
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-003","╖sлnз°",409,1090,596,494
"103Y3M","10002","йy─ї┐д","10002060","зз│Є╢m","10002060-006","╣L└нз°",607,1806,952,854
